,destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
2654,Arizona,2011,6402301,5107496,1028366,222877,43562,Colorado,10189
2655,Arkansas,2011,2906632,2421746,405831,69845,9210,Colorado,746
2656,California,2011,37222678,31213310,5271168,468428,269772,Colorado,21245
2657,Colorado,2011,5048443,4048042,763233,202124,35044,Colorado,0
2658,Connecticut,2011,3548667,3139496,316883,71502,20786,Colorado,1502
2659,Delaware,2011,897187,775414,83156,33912,4705,Colorado,169
2660,District of Columbia ,2011,611608,489659,66519,48066,7364,Colorado,452
2661,Florida,2011,18863948,15742168,2454255,498597,168928,Colorado,9383
2662,Georgia,2011,9699859,8095407,1289450,271077,43925,Colorado,2325
2663,Hawaii,2011,1357806,1160948,122727,57542,16589,Colorado,950
2664,Idaho,2011,1559637,1284530,208434,60336,6337,Colorado,1813
2665,Illinois,2011,12718402,11076528,1353853,216204,71817,Colorado,3271
2666,Indiana,2011,6437155,5478683,809158,127874,21440,Colorado,1930
2667,Iowa,2011,3027718,2573313,370554,70405,13446,Colorado,2891
2668,Kansas,2011,2833584,2372033,362782,83640,15129,Colorado,5030
2669,Kentucky,2011,4316297,3686232,505741,110031,14293,Colorado,221
2670,Louisiana,2011,4518629,3865118,538691,99138,15682,Colorado,1202
2671,Maine,2011,1315833,1120364,157102,33818,4549,Colorado,290
2672,Maryland,2011,5759087,5008452,553895,153979,42761,Colorado,1796
2673,Massachusetts,2011,6515057,5658768,656441,139830,60018,Colorado,1388
2674,Michigan,2011,9766574,8340767,1242917,139158,43732,Colorado,3425
2675,Minnesota,2011,5277329,4505462,646176,101029,24662,Colorado,2662
2676,Mississippi,2011,2943021,2534036,332934,68511,7540,Colorado,484
2677,Missouri,2011,5937896,4963040,801046,149439,24371,Colorado,3144
2678,Montana,2011,987076,828254,122210,33553,3059,Colorado,2856
2679,Nebraska,2011,1817126,1505191,253269,52070,6596,Colorado,3245
2680,Nevada,2011,2688336,2084668,480317,110345,13006,Colorado,2714
2681,New Hampshire,2011,1305678,1141236,122129,37000,5313,Colorado,403
2682,New Jersey,2011,8719952,7825661,693380,140194,60717,Colorado,2203
2683,New Mexico,2011,2055293,1753413,228218,62130,11532,Colorado,5525
2684,New York,2011,19248685,17055260,1756105,282209,155111,Colorado,3724
2685,North Carolina,2011,9539412,8070238,1160510,265291,43373,Colorado,3919
2686,North Dakota,2011,675161,559906,79837,32510,2908,Colorado,1229
2687,Ohio,2011,11418944,9764366,1425709,191778,37091,Colorado,2690
2688,Oklahoma,2011,3742698,3089041,528498,108878,16281,Colorado,3273
2689,Oregon,2011,3828714,3128121,549332,127906,23355,Colorado,2110
2690,Pennsylvania,2011,12610486,11099077,1224564,234291,52554,Colorado,2491
2691,Rhode Island,2011,1040022,903786,101689,26769,7778,Colorado,301
2692,South Carolina,2011,4624180,3899705,546666,157644,20165,Colorado,1000
2693,South Dakota,2011,814175,688436,94655,27506,3578,Colorado,1021
2694,Tennessee,2011,6333466,5342978,794556,170969,24963,Colorado,1372
2695,Texas,2011,25327104,20984855,3648260,514726,179263,Colorado,19126
2696,Utah,2011,2769627,2295961,373984,85217,14465,Colorado,3986
2697,Vermont,2011,621354,537304,60719,20463,2868,Colorado,529
2698,Virginia,2011,7996552,6789620,889751,257130,60051,Colorado,4908
2699,Washington,2011,6748474,5565069,919925,208507,54973,Colorado,3938
2700,West Virginia,2011,1836614,1609110,172262,50068,5174,Colorado,124
2701,Wisconsin,2011,5647213,4846550,675623,109439,15601,Colorado,2592
2702,Wyoming,2011,561389,462808,66648,30651,1282,Colorado,6905
2703,Puerto Rico,2011,3669195,3403602,238263,22649,4681,Colorado,0
2704,Alabama,2012,4764428,4054260,590326,104600,15242,Colorado,1386
2705,Alaska,2012,721186,592551,90613,33415,4607,Colorado,556
2706,Arizona,2012,6468907,5242674,953789,232457,39987,Colorado,13790
2707,Arkansas,2012,2912680,2453347,373046,76948,9339,Colorado,603
2708,California,2012,37572738,31777868,5046618,493641,254611,Colorado,15150
2709,Colorado,2012,5123944,4131357,751921,205060,35606,Colorado,0
2710,Connecticut,2012,3555319,3114940,334918,80311,25150,Colorado,367
2711,Delaware,2012,906576,782216,86003,34757,3600,Colorado,0
2712,District of Columbia ,2012,624847,500267,61992,53830,8758,Colorado,677
2713,Florida,2012,19114620,16032617,2380288,537148,164567,Colorado,8766
2714,Georgia,2012,9796547,8231384,1236302,277466,51395,Colorado,4710
2715,Hawaii,2012,1374852,1164145,134827,55145,20735,Colorado,1216
2716,Idaho,2012,1573036,1296975,210151,59283,6627,Colorado,1186
2717,Illinois,2012,12725119,11009321,1441191,208755,65852,Colorado,3036
2718,Indiana,2012,6457067,5493090,805228,134137,24612,Colorado,1225
2719,Iowa,2012,3035469,2585979,362938,75760,10792,Colorado,3252
2720,Kansas,2012,2848708,2361899,381695,88284,16830,Colorado,3746
2721,Kentucky,2012,4328626,3676472,521511,112787,17856,Colorado,712
2722,Louisiana,2012,4545914,3912023,528406,91215,14270,Colorado,1433
2723,Maine,2012,1315586,1132344,151438,27523,4281,Colorado,314
2724,Maryland,2012,5816472,5068457,549973,154983,43059,Colorado,1071
2725,Massachusetts,2012,6580641,5752166,626380,142577,59518,Colorado,980
2726,Michigan,2012,9778980,8330990,1268105,133981,45904,Colorado,2363
2727,Minnesota,2012,5315228,4536303,653012,101042,24871,Colorado,3565
2728,Mississippi,2012,2947696,2529377,339807,73500,5012,Colorado,799
2729,Missouri,2012,5951913,4965459,801093,162930,22431,Colorado,3798
2730,Montana,2012,995544,829489,126463,37690,1902,Colorado,2135
2731,Nebraska,2012,1829420,1540361,237937,43266,7856,Colorado,2023
2732,Nevada,2012,2725280,2105070,481496,124285,14429,Colorado,6402
2733,New Hampshire,2012,1309203,1127376,125118,50484,6225,Colorado,572
2734,New Jersey,2012,8772744,7929570,655465,130223,57486,Colorado,380
2735,New Mexico,2012,2060595,1769341,226243,54693,10318,Colorado,4780
2736,New York,2012,19352153,17202134,1723117,270053,156849,Colorado,3596
2737,North Carolina,2012,9640490,8167830,1149080,273149,50431,Colorado,4790
2738,North Dakota,2012,689838,563978,84294,38213,3353,Colorado,546
2739,Ohio,2012,11414635,9735390,1440815,196391,42039,Colorado,3180
2740,Oklahoma,2012,3762311,3107367,531347,108972,14625,Colorado,4717
2741,Oregon,2012,3857465,3158450,560673,118925,19417,Colorado,4472
2742,Pennsylvania,2012,12630082,11107110,1252378,215500,55094,Colorado,2574
2743,Rhode Island,2012,1040527,899551,101165,33446,6365,Colorado,332
2744,South Carolina,2012,4668886,3929626,564350,156705,18205,Colorado,1915
2745,South Dakota,2012,821669,676014,115606,26051,3998,Colorado,1744
2746,Tennessee,2012,6378278,5396833,783077,177098,21270,Colorado,2473
2747,Texas,2012,25711791,21354247,3656070,507752,193722,Colorado,16616
2748,Utah,2012,2805440,2324019,373980,87870,19571,Colorado,5350
2749,Vermont,2012,620224,532237,61242,24431,2314,Colorado,382
2750,Virginia,2012,8085389,6857430,915242,250653,62064,Colorado,5352
2751,Washington,2012,6815763,5648199,904695,215494,47375,Colorado,5195
2752,West Virginia,2012,1837518,1613322,174112,47125,2959,Colorado,104
2753,Wisconsin,2012,5660677,4849945,693737,99192,17803,Colorado,1600
2754,Wyoming,2012,569734,459226,77324,31149,2035,Colorado,5599
2755,Puerto Rico,2012,3628402,3366593,238042,20044,3723,Colorado,0
2756,Alabama,2013,4781296,4067683,594583,104102,14928,Colorado,698
2757,Alaska,2013,725193,583799,99953,34360,7081,Colorado,2359
2758,Arizona,2013,6543362,5321158,941347,236146,44711,Colorado,8325
2759,Arkansas,2013,2923642,2475807,367837,70621,9377,Colorado,1557
2760,California,2013,37873189,32197933,4898331,485477,291448,Colorado,16151
2761,Colorado,2013,5206012,4186643,778520,206543,34306,Colorado,0
2762,Connecticut,2013,3562959,3127421,325895,88351,21292,Colorado,1066
2763,Delaware,2013,914025,791278,81363,36790,4594,Colorado,74
2764,District of Columbia ,2013,636535,509958,68917,46571,11089,Colorado,337
2765,Florida,2013,19345059,16199361,2442119,529406,174173,Colorado,7608
2766,Georgia,2013,9870319,8256209,1279601,278972,55537,Colorado,5704
2767,Hawaii,2013,1387361,1177733,135860,58083,15685,Colorado,2950
2768,Idaho,2013,1592596,1317235,205418,61592,8351,Colorado,1177
2769,Illinois,2013,12740816,11036387,1411859,223605,68965,Colorado,2992
2770,Indiana,2013,6492306,5499346,835689,133508,23763,Colorado,3029
2771,Iowa,2013,3053635,2585189,380270,75650,12526,Colorado,1633
2772,Kansas,2013,2854869,2386028,363906,89735,15200,Colorado,4590
2773,Kentucky,2013,4345186,3665604,558412,103207,17963,Colorado,808
2774,Louisiana,2013,4568320,3941211,519010,91889,16210,Colorado,2372
2775,Maine,2013,1315753,1128262,146334,36780,4377,Colorado,418
2776,Maryland,2013,5857213,5078020,572131,161525,45537,Colorado,2081
2777,Massachusetts,2013,6619999,5724592,700613,135150,59644,Colorado,2176
2778,Michigan,2013,9784094,8296283,1294706,144091,49014,Colorado,2508
2779,Minnesota,2013,5353441,4585137,636274,104825,27205,Colorado,2467
2780,Mississippi,2013,2957797,2531410,350982,68588,6817,Colorado,448
2781,Missouri,2013,5973448,5015609,779132,159936,18771,Colorado,4218
2782,Montana,2013,1003013,827494,130187,40035,5297,Colorado,2054
2783,Nebraska,2013,1842900,1546788,241707,45854,8551,Colorado,4670
2784,Nevada,2013,2757365,2166730,447480,126583,16572,Colorado,2484
2785,New Hampshire,2013,1310978,1128583,131200,44867,6328,Colorado,346
2786,New Jersey,2013,8803679,7941559,667248,136907,57965,Colorado,1338
2787,New Mexico,2013,2059689,1764969,224508,56808,13404,Colorado,4478
2788,New York,2013,19431954,17297785,1715158,272066,146945,Colorado,4058
2789,North Carolina,2013,9737365,8233641,1176351,275922,51451,Colorado,4554
2790,North Dakota,2013,714804,593677,78944,38908,3275,Colorado,1463
2791,Ohio,2013,11439593,9748676,1458505,185749,46663,Colorado,3654
2792,Oklahoma,2013,3801521,3131192,545546,109255,15528,Colorado,4354
2793,Oregon,2013,3888216,3154813,571472,143841,18090,Colorado,6024
2794,Pennsylvania,2013,12639493,11113742,1240573,224280,60898,Colorado,2039
2795,Rhode Island,2013,1040986,905093,94129,34108,7656,Colorado,0
2796,South Carolina,2013,4720602,4000306,537062,166047,17187,Colorado,2570
2797,South Dakota,2013,832703,691659,108713,30042,2289,Colorado,1690
2798,Tennessee,2013,6419226,5429144,779329,186525,24228,Colorado,1570
2799,Texas,2013,26087349,21658382,3695565,548034,185368,Colorado,18979
2800,Utah,2013,2854667,2361079,377528,97869,18191,Colorado,7051
2801,Vermont,2013,621256,542002,53684,23180,2390,Colorado,751
2802,Virginia,2013,8163664,6874626,962359,266348,60331,Colorado,4048
2803,Washington,2013,6888552,5700703,927367,208215,52267,Colorado,5420
2804,West Virginia,2013,1837863,1621269,161679,51957,2958,Colorado,92
2805,Wisconsin,2013,5681024,4872672,688588,100846,18918,Colorado,1528
2806,Wyoming,2013,575933,469511,76905,27584,1933,Colorado,3387
2807,Puerto Rico,2013,3579220,3329074,221047,24652,4447,Colorado,0
2808,Alabama,2014,4791931,4081522,589211,107919,13279,Colorado,2019
2809,Alaska,2014,725206,585916,97358,37842,4090,Colorado,2017
2810,Arizona,2014,6651964,5431241,922129,249730,48864,Colorado,9663
2811,Arkansas,2014,2931123,2464189,383087,74741,9106,Colorado,1149
2812,California,2014,38340324,32849251,4659084,513968,318021,Colorado,17500
2813,Colorado,2014,5293943,4263998,777699,218728,33518,Colorado,0
2814,Connecticut,2014,3558915,3111779,334207,82746,30183,Colorado,464
2815,Delaware,2014,924770,810905,77246,32166,4453,Colorado,95
2816,District of Columbia ,2014,648586,513634,67286,56234,11432,Colorado,476
2817,Florida,2014,19683763,16504838,2436619,546501,195805,Colorado,9260
2818,Georgia,2014,9970167,8406436,1238139,274095,51497,Colorado,5629
2819,Hawaii,2014,1401004,1198766,131974,58144,12120,Colorado,2286
2820,Idaho,2014,1613068,1335689,207055,64633,5691,Colorado,2341
2821,Illinois,2014,12730206,11021611,1430902,209536,68157,Colorado,4066
2822,Indiana,2014,6516181,5540754,810518,139846,25063,Colorado,1799
2823,Iowa,2014,3067872,2594781,379518,79194,14379,Colorado,2461
2824,Kansas,2014,2866584,2378716,376239,96467,15162,Colorado,3350
2825,Kentucky,2014,4357819,3663490,575429,104975,13925,Colorado,2376
2826,Louisiana,2014,4593505,3970442,511702,97814,13547,Colorado,2540
2827,Maine,2014,1317638,1138397,134611,39065,5565,Colorado,546
2828,Maryland,2014,5911235,5091903,615601,156787,46944,Colorado,1834
2829,Massachusetts,2014,6674907,5784744,672510,146622,71031,Colorado,3008
2830,Michigan,2014,9795659,8336037,1261495,149991,48136,Colorado,1938
2831,Minnesota,2014,5385219,4612655,635880,106783,29901,Colorado,3451
2832,Mississippi,2014,2957658,2554296,321236,73927,8199,Colorado,656
2833,Missouri,2014,5992195,5042396,776519,153320,19960,Colorado,2959
2834,Montana,2014,1012169,845142,126508,37561,2958,Colorado,1899
2835,Nebraska,2014,1855356,1541744,252232,52200,9180,Colorado,3727
2836,Nevada,2014,2806170,2235861,426512,130390,13407,Colorado,3309
2837,New Hampshire,2014,1314735,1134514,133298,41393,5530,Colorado,260
2838,New Jersey,2014,8840346,7961796,686056,128911,63583,Colorado,1070
2839,New Mexico,2014,2060189,1770053,212456,68917,8763,Colorado,4475
2840,New York,2014,19528220,17418181,1693064,258571,158404,Colorado,2148
2841,North Carolina,2014,9832152,8332705,1166928,286533,45986,Colorado,5108
2842,North Dakota,2014,729874,602508,85084,39059,3223,Colorado,1018
2843,Ohio,2014,11464891,9742065,1484132,196742,41952,Colorado,3917
2844,Oklahoma,2014,3827288,3148699,550149,111346,17094,Colorado,4190
2845,Oregon,2014,3927857,3196441,571056,137008,23352,Colorado,5446
2846,Pennsylvania,2014,12645888,11103966,1241534,232889,67499,Colorado,2615
2847,Rhode Island,2014,1045791,906936,98869,32621,7365,Colorado,91
2848,South Carolina,2014,4780659,4046123,542930,171969,19637,Colorado,3455
2849,South Dakota,2014,842076,701352,109496,28198,3030,Colorado,1388
2850,Tennessee,2014,6471445,5465071,796577,182130,27667,Colorado,2482
2851,Texas,2014,26588600,22151594,3681042,538572,217392,Colorado,18277
2852,Utah,2014,2894001,2407608,374578,90234,21581,Colorado,4111
2853,Vermont,2014,620898,536915,59850,22635,1498,Colorado,645
2854,Virginia,2014,8224054,6891144,995822,262477,74611,Colorado,5487
2855,Washington,2014,6979369,5757065,934922,220259,67123,Colorado,6779
2856,West Virginia,2014,1831414,1617510,162340,47957,3607,Colorado,877
2857,Wisconsin,2014,5692727,4868506,688104,117831,18286,Colorado,1458
2858,Wyoming,2014,577782,475740,74601,25992,1449,Colorado,5217
2859,Puerto Rico,2014,3511186,3251389,237197,19771,2829,Colorado,0
2860,Alabama,2015,4801599,4113945,561019,114876,11759,Colorado,1927
2861,Alaska,2015,727862,582909,105769,34696,4488,Colorado,1815
2862,Arizona,2015,6747595,5536087,910911,253281,47316,Colorado,11039
2863,Arkansas,2015,2938341,2440359,407352,81594,9036,Colorado,2429
2864,California,2015,38675135,33446324,4377667,514477,336667,Colorado,21157
2865,Colorado,2015,5393067,4404058,728077,227445,33487,Colorado,0
2866,Connecticut,2015,3554844,3109580,340126,76997,28141,Colorado,467
2867,Delaware,2015,935813,800701,86009,44495,4608,Colorado,192
2868,District of Columbia ,2015,663006,525024,67188,59905,10889,Colorado,433
2869,Florida,2015,20068392,16832374,2438828,584938,212252,Colorado,9206
2870,Georgia,2015,10088525,8489689,1259007,283325,56504,Colorado,4456
2871,Hawaii,2015,1414355,1206066,136796,53742,17751,Colorado,1618
2872,Idaho,2015,1635366,1333758,218791,73809,9008,Colorado,3659
2873,Illinois,2015,12706393,11029917,1399829,209828,66819,Colorado,3998
2874,Indiana,2015,6540691,5527512,843210,147529,22440,Colorado,2271
2875,Iowa,2015,3081446,2598298,386465,85937,10746,Colorado,2158
2876,Kansas,2015,2875640,2405677,360715,91340,17908,Colorado,5327
2877,Kentucky,2015,4373403,3706705,543811,106918,15969,Colorado,1510
2878,Louisiana,2015,4612024,4007364,496223,93321,15116,Colorado,1178
2879,Maine,2015,1317444,1127394,156271,30123,3656,Colorado,585
2880,Maryland,2015,5934005,5076791,638788,168894,49532,Colorado,3002
2881,Massachusetts,2015,6725678,5893936,634359,132642,64741,Colorado,2046
2882,Michigan,2015,9811416,8394658,1229302,142639,44817,Colorado,1993
2883,Minnesota,2015,5419822,4618325,661383,108476,31638,Colorado,2709
2884,Mississippi,2015,2959289,2554660,327854,69351,7424,Colorado,522
2885,Missouri,2015,6015580,5056661,777061,159152,22706,Colorado,4791
2886,Montana,2015,1019646,855861,118200,42760,2825,Colorado,3268
2887,Nebraska,2015,1869217,1570592,236217,52950,9458,Colorado,3571
2888,Nevada,2015,2859489,2291842,413831,135999,17817,Colorado,2058
2889,New Hampshire,2015,1318121,1134482,122442,53446,7751,Colorado,941
2890,New Jersey,2015,8854363,7987859,656570,144074,65860,Colorado,768
2891,New Mexico,2015,2060441,1767704,228103,55753,8881,Colorado,5395
2892,New York,2015,19570171,17506652,1653268,257611,152640,Colorado,3101
2893,North Carolina,2015,9927547,8376304,1194157,310612,46474,Colorado,3634
2894,North Dakota,2015,745291,608377,90498,42618,3798,Colorado,984
2895,Ohio,2015,11482142,9719944,1508889,203475,49834,Colorado,3137
2896,Oklahoma,2015,3864908,3202689,532976,110878,18365,Colorado,4362
2897,Oregon,2015,3985712,3277453,544776,141162,22321,Colorado,3011
2898,Pennsylvania,2015,12662192,11109753,1258572,232683,61184,Colorado,3115
2899,Rhode Island,2015,1045062,901338,97722,38344,7658,Colorado,285
2900,South Carolina,2015,4839984,4106166,543488,170366,19964,Colorado,2725
2901,South Dakota,2015,848285,702122,116343,26962,2858,Colorado,1200
2902,Tennessee,2015,6522259,5535963,766524,195923,23849,Colorado,1722
2903,Texas,2015,27092848,22723345,3594282,553032,222189,Colorado,22587
2904,Utah,2015,2947423,2435722,390649,97361,23691,Colorado,3964
2905,Vermont,2015,619952,532319,62067,21232,4334,Colorado,376
2906,Virginia,2015,8283737,6952362,983569,277715,70091,Colorado,3804
2907,Washington,2015,7089143,5778806,1017221,230907,62209,Colorado,7258
2908,West Virginia,2015,1823753,1610407,167631,42078,3637,Colorado,491
2909,Wisconsin,2015,5708201,4891636,690306,106511,19748,Colorado,1568
2910,Wyoming,2015,579102,474927,65384,35947,2844,Colorado,9132
2911,Puerto Rico,2015,3443445,3193423,219833,24762,5427,Colorado,60
2912,Alabama,2016,4810126,4141850,529994,122220,16062,Colorado,2177
2913,Alaska,2016,731760,593897,100004,31300,6559,Colorado,1401
2914,Arizona,2016,6851836,5586753,938077,273257,53749,Colorado,11895
2915,Arkansas,2016,2949650,2484705,384811,71083,9051,Colorado,3459
2916,California,2016,38783436,33594813,4337251,514758,336614,Colorado,22540
2917,Colorado,2016,5476928,4466067,754712,223260,32889,Colorado,0
2918,Connecticut,2016,3541758,3116440,323316,75586,26416,Colorado,562
2919,Delaware,2016,942073,817779,85147,33400,5747,Colorado,106
2920,District of Columbia ,2016,672022,538547,64166,58154,11155,Colorado,531
2921,Florida,2016,20401575,17176492,2387227,605018,232838,Colorado,9880
2922,Georgia,2016,10179860,8514847,1290632,305040,69341,Colorado,3337
2923,Hawaii,2016,1410258,1217704,117894,57229,17431,Colorado,1643
2924,Idaho,2016,1663756,1369449,214222,71556,8529,Colorado,3072
2925,Illinois,2016,12654142,10996695,1387848,203713,65886,Colorado,3257
2926,Indiana,2016,6554084,5580090,801425,145782,26787,Colorado,1513
2927,Iowa,2016,3097283,2622577,383520,78263,12923,Colorado,3478
2928,Kansas,2016,2870529,2394351,369971,88830,17377,Colorado,5355
2929,Kentucky,2016,4385213,3698797,553718,113238,19460,Colorado,2721
2930,Louisiana,2016,4622042,3994321,526380,85371,15970,Colorado,2529
2931,Maine,2016,1319292,1146220,129892,38590,4590,Colorado,407
2932,Maryland,2016,5949566,5140378,606423,158647,44118,Colorado,2210
2933,Massachusetts,2016,6745441,5866016,657022,149408,72995,Colorado,3046
2934,Michigan,2016,9813772,8362412,1240633,155874,54853,Colorado,2120
2935,Minnesota,2016,5455904,4669227,645164,111307,30206,Colorado,4691
2936,Mississippi,2016,2951081,2556013,324577,64639,5852,Colorado,441
2937,Missouri,2016,6022165,5078669,758791,162809,21896,Colorado,4960
2938,Montana,2016,1032794,863174,128300,37775,3545,Colorado,2521
2939,Nebraska,2016,1882987,1573126,248118,51448,10295,Colorado,5557
2940,Nevada,2016,2907243,2400809,374058,117899,14477,Colorado,3293
2941,New Hampshire,2016,1322101,1122068,140603,52457,6973,Colorado,1008
2942,New Jersey,2016,8852286,7934689,703637,144359,69601,Colorado,1364
2943,New Mexico,2016,2057857,1768040,214411,64802,10604,Colorado,4293
2944,New York,2016,19526443,17465164,1634487,260723,166069,Colorado,3463
2945,North Carolina,2016,10032407,8460264,1190972,330896,50275,Colorado,4285
2946,North Dakota,2016,746271,620891,91010,29655,4715,Colorado,500
2947,Ohio,2016,11481752,9755589,1482286,195396,48481,Colorado,3265
2948,Oklahoma,2016,3873232,3225478,530770,102000,14984,Colorado,3698
2949,Oregon,2016,4052221,3307805,577950,139334,27132,Colorado,3625
2950,Pennsylvania,2016,12645493,11016361,1308271,252060,68801,Colorado,3434
2951,Rhode Island,2016,1045691,898574,106725,32800,7592,Colorado,421
2952,South Carolina,2016,4903788,4176954,542415,165230,19189,Colorado,1947
2953,South Dakota,2016,853832,720262,97747,31789,4034,Colorado,820
2954,Tennessee,2016,6580953,5644022,742615,170867,23449,Colorado,1692
2955,Texas,2016,27472626,23105984,3599897,531996,234749,Colorado,21596
2956,Utah,2016,3002244,2474308,396018,107083,24835,Colorado,3615
2957,Vermont,2016,619387,535268,60744,21262,2113,Colorado,350
2958,Virginia,2016,8312297,7008805,961003,264164,78325,Colorado,3269
2959,Washington,2016,7202119,5924723,958326,257728,61342,Colorado,13012
2960,West Virginia,2016,1810709,1582818,176953,47196,3742,Colorado,464
2961,Wisconsin,2016,5712104,4876817,696530,118814,19943,Colorado,4129
2962,Wyoming,2016,577567,472996,75995,26471,2105,Colorado,4227
2963,Puerto Rico,2016,3384760,3143116,216969,21196,3479,Colorado,40
2964,Alabama,2017,4819343,4158224,535649,111803,13667,Colorado,1974
2965,Alaska,2017,730874,595804,98168,30199,6703,Colorado,1487
2966,Arizona,2017,6935358,5717189,911120,261727,45322,Colorado,12810
2967,Arkansas,2017,2968395,2509717,370309,79411,8958,Colorado,2547
2968,California,2017,39085984,34009331,4234770,523131,318752,Colorado,25038
2969,Colorado,2017,5542282,4546729,734182,226933,34438,Colorado,0
2970,Connecticut,2017,3556297,3136666,311726,83325,24580,Colorado,370
2971,Delaware,2017,952449,830905,78998,38532,4014,Colorado,144
2972,District of Columbia ,2017,684810,554225,64013,56231,10341,Colorado,1109
2973,Florida,2017,20772371,17554348,2402381,566476,249166,Colorado,12061
2974,Georgia,2017,10299497,8760762,1202587,278889,57259,Colorado,4981
2975,Hawaii,2017,1410750,1231340,115683,46457,17270,Colorado,1584
2976,Idaho,2017,1694182,1405344,210310,71899,6629,Colorado,3823
2977,Illinois,2017,12659328,11026895,1365922,195092,71419,Colorado,5172
2978,Indiana,2017,6591598,5633171,792487,142290,23650,Colorado,1692
2979,Iowa,2017,3106880,2654666,362905,77072,12237,Colorado,2257
2980,Kansas,2017,2876925,2413141,366147,86154,11483,Colorado,5871
2981,Kentucky,2017,4404279,3721100,563721,103985,15473,Colorado,614
2982,Louisiana,2017,4629962,4030674,513676,72836,12776,Colorado,1575
2983,Maine,2017,1322591,1140136,144186,34252,4017,Colorado,849
2984,Maryland,2017,5988007,5168350,605885,165654,48118,Colorado,2182
2985,Massachusetts,2017,6789798,5888011,677835,146299,77653,Colorado,1857
2986,Michigan,2017,9851330,8450559,1203536,148787,48448,Colorado,3001
2987,Minnesota,2017,5510902,4728748,643272,115623,23259,Colorado,4221
2988,Mississippi,2017,2946971,2553271,313673,73549,6478,Colorado,1000
2989,Missouri,2017,6039877,5108238,742205,164957,24477,Colorado,4275
2990,Montana,2017,1039170,883342,116400,35456,3972,Colorado,2241
2991,Nebraska,2017,1894217,1586729,243792,52507,11189,Colorado,4520
2992,Nevada,2017,2963456,2430163,383067,133074,17152,Colorado,8518
2993,New Hampshire,2017,1330742,1134244,137212,52893,6393,Colorado,512
2994,New Jersey,2017,8910191,7968039,710807,152106,79239,Colorado,1099
2995,New Mexico,2017,2062628,1801560,193225,57255,10588,Colorado,3578
2996,New York,2017,19638923,17553033,1655152,285252,145486,Colorado,3104
2997,North Carolina,2017,10158556,8649400,1139260,313834,56062,Colorado,4021
2998,North Dakota,2017,744641,609017,92436,37315,5873,Colorado,995
2999,Ohio,2017,11520109,9822847,1452745,198929,45588,Colorado,3209
3000,Oklahoma,2017,3875922,3216306,542724,101961,14931,Colorado,3474
3001,Oregon,2017,4102048,3405784,520747,149513,26004,Colorado,3185
3002,Pennsylvania,2017,12674642,11072942,1292389,250120,59191,Colorado,2786
3003,Rhode Island,2017,1048549,922210,83440,36850,6049,Colorado,425
3004,South Carolina,2017,4966211,4248517,531315,166573,19806,Colorado,1756
3005,South Dakota,2017,856726,723740,99781,26106,7099,Colorado,1284
3006,Tennessee,2017,6642072,5675990,748912,191909,25261,Colorado,1823
3007,Texas,2017,27924632,23534387,3643333,524511,222401,Colorado,20023
3008,Utah,2017,3056193,2532858,398606,99584,25145,Colorado,4625
3009,Vermont,2017,619089,536390,57588,21868,3243,Colorado,689
3010,Virginia,2017,8372522,7089782,958267,250490,73983,Colorado,4644
3011,Washington,2017,7318811,6016482,978057,260787,63485,Colorado,8473
3012,West Virginia,2017,1798306,1589833,165375,40007,3091,Colorado,463
3013,Wisconsin,2017,5731549,4908638,687285,112519,23107,Colorado,2101
3014,Wyoming,2017,573483,481231,71338,18511,2403,Colorado,4254
3015,Puerto Rico,2017,3313519,3101332,189034,20167,2986,Colorado,0
3016,Alabama,2018,4832358,4173026,534914,109301,15117,Colorado,1672
3017,Alaska,2018,727164,608707,81229,32099,5129,Colorado,1847
3018,Arizona,2018,7090137,5887700,888452,273714,40271,Colorado,11517
3019,Arkansas,2018,2975961,2539294,354774,73179,8714,Colorado,3255
3020,California,2018,39114889,34232867,4092388,501023,288611,Colorado,18755
3021,Colorado,2018,5633029,4626834,728730,239153,38312,Colorado,0
3022,Connecticut,2018,3538203,3102312,320248,84718,30925,Colorado,1105
3023,Delaware,2018,958770,853523,67984,34451,2812,Colorado,0
3024,District of Columbia ,2018,693798,568201,68603,47555,9439,Colorado,336
3025,Florida,2018,21092877,17863603,2420485,587261,221528,Colorado,15746
3026,Georgia,2018,10410462,8909803,1174523,274273,51863,Colorado,3497
3027,Hawaii,2018,1403653,1211015,125172,54074,13392,Colorado,3164
3028,Idaho,2018,1734756,1438727,209540,79765,6724,Colorado,1505
3029,Illinois,2018,12599244,11029483,1295596,206620,67545,Colorado,3208
3030,Indiana,2018,6612948,5614432,821113,145256,32147,Colorado,4695
3031,Iowa,2018,3119306,2662849,371285,74199,10973,Colorado,4856
3032,Kansas,2018,2874208,2392841,371025,95748,14594,Colorado,3808
3033,Kentucky,2018,4414714,3744188,547535,110456,12535,Colorado,1643
3034,Louisiana,2018,4603081,4033845,474843,81355,13038,Colorado,2397
3035,Maine,2018,1324095,1143612,142453,34706,3324,Colorado,840
3036,Maryland,2018,5974521,5133916,630955,163216,46434,Colorado,1168
3037,Massachusetts,2018,6834364,5970065,653940,144042,66317,Colorado,1174
3038,Michigan,2018,9891083,8562101,1144840,139276,44866,Colorado,3337
3039,Minnesota,2018,5543490,4781432,635928,100270,25860,Colorado,2605
