,destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
102,Wyoming,2011,561389,462808,66648,30651,1282,Alabama,51
103,Puerto Rico,2011,3669195,3403602,238263,22649,4681,Alabama,35
104,Alabama,2012,4764428,4054260,590326,104600,15242,Alabama,0
105,Alaska,2012,721186,592551,90613,33415,4607,Alabama,1097
106,Arizona,2012,6468907,5242674,953789,232457,39987,Alabama,1331
107,Arkansas,2012,2912680,2453347,373046,76948,9339,Alabama,374
108,California,2012,37572738,31777868,5046618,493641,254611,Alabama,2509
109,Colorado,2012,5123944,4131357,751921,205060,35606,Alabama,3108
110,Connecticut,2012,3555319,3114940,334918,80311,25150,Alabama,46
111,Delaware,2012,906576,782216,86003,34757,3600,Alabama,119
112,District of Columbia ,2012,624847,500267,61992,53830,8758,Alabama,79
113,Florida,2012,19114620,16032617,2380288,537148,164567,Alabama,18599
114,Georgia,2012,9796547,8231384,1236302,277466,51395,Alabama,13864
115,Hawaii,2012,1374852,1164145,134827,55145,20735,Alabama,608
116,Idaho,2012,1573036,1296975,210151,59283,6627,Alabama,575
117,Illinois,2012,12725119,11009321,1441191,208755,65852,Alabama,883
118,Indiana,2012,6457067,5493090,805228,134137,24612,Alabama,1625
119,Iowa,2012,3035469,2585979,362938,75760,10792,Alabama,503
120,Kansas,2012,2848708,2361899,381695,88284,16830,Alabama,853
121,Kentucky,2012,4328626,3676472,521511,112787,17856,Alabama,4137
122,Louisiana,2012,4545914,3912023,528406,91215,14270,Alabama,2329
123,Maine,2012,1315586,1132344,151438,27523,4281,Alabama,129
124,Maryland,2012,5816472,5068457,549973,154983,43059,Alabama,1261
125,Massachusetts,2012,6580641,5752166,626380,142577,59518,Alabama,636
126,Michigan,2012,9778980,8330990,1268105,133981,45904,Alabama,2341
127,Minnesota,2012,5315228,4536303,653012,101042,24871,Alabama,1299
128,Mississippi,2012,2947696,2529377,339807,73500,5012,Alabama,5141
129,Missouri,2012,5951913,4965459,801093,162930,22431,Alabama,1333
130,Montana,2012,995544,829489,126463,37690,1902,Alabama,31
131,Nebraska,2012,1829420,1540361,237937,43266,7856,Alabama,245
132,Nevada,2012,2725280,2105070,481496,124285,14429,Alabama,761
133,New Hampshire,2012,1309203,1127376,125118,50484,6225,Alabama,0
134,New Jersey,2012,8772744,7929570,655465,130223,57486,Alabama,779
135,New Mexico,2012,2060595,1769341,226243,54693,10318,Alabama,787
136,New York,2012,19352153,17202134,1723117,270053,156849,Alabama,1364
137,North Carolina,2012,9640490,8167830,1149080,273149,50431,Alabama,4329
138,North Dakota,2012,689838,563978,84294,38213,3353,Alabama,83
139,Ohio,2012,11414635,9735390,1440815,196391,42039,Alabama,3705
140,Oklahoma,2012,3762311,3107367,531347,108972,14625,Alabama,1030
141,Oregon,2012,3857465,3158450,560673,118925,19417,Alabama,373
142,Pennsylvania,2012,12630082,11107110,1252378,215500,55094,Alabama,1926
143,Rhode Island,2012,1040527,899551,101165,33446,6365,Alabama,20
144,South Carolina,2012,4668886,3929626,564350,156705,18205,Alabama,1665
145,South Dakota,2012,821669,676014,115606,26051,3998,Alabama,0
146,Tennessee,2012,6378278,5396833,783077,177098,21270,Alabama,12116
147,Texas,2012,25711791,21354247,3656070,507752,193722,Alabama,9993
148,Utah,2012,2805440,2324019,373980,87870,19571,Alabama,126
149,Vermont,2012,620224,532237,61242,24431,2314,Alabama,16
150,Virginia,2012,8085389,6857430,915242,250653,62064,Alabama,2515
151,Washington,2012,6815763,5648199,904695,215494,47375,Alabama,1507
152,West Virginia,2012,1837518,1613322,174112,47125,2959,Alabama,477
153,Wisconsin,2012,5660677,4849945,693737,99192,17803,Alabama,323
154,Wyoming,2012,569734,459226,77324,31149,2035,Alabama,260
155,Puerto Rico,2012,3628402,3366593,238042,20044,3723,Alabama,8
156,Alabama,2013,4781296,4067683,594583,104102,14928,Alabama,0
157,Alaska,2013,725193,583799,99953,34360,7081,Alabama,572
158,Arizona,2013,6543362,5321158,941347,236146,44711,Alabama,2140
159,Arkansas,2013,2923642,2475807,367837,70621,9377,Alabama,0
160,California,2013,37873189,32197933,4898331,485477,291448,Alabama,2958
161,Colorado,2013,5206012,4186643,778520,206543,34306,Alabama,2926
162,Connecticut,2013,3562959,3127421,325895,88351,21292,Alabama,337
163,Delaware,2013,914025,791278,81363,36790,4594,Alabama,0
164,District of Columbia ,2013,636535,509958,68917,46571,11089,Alabama,316
165,Florida,2013,19345059,16199361,2442119,529406,174173,Alabama,10281
166,Georgia,2013,9870319,8256209,1279601,278972,55537,Alabama,18739
167,Hawaii,2013,1387361,1177733,135860,58083,15685,Alabama,593
